Timestamp,Friendship level with the person you traded with?,Did you receive a Lucky Pokemon from this trade?,Candy received from the trade,Caught date (for the Pokemon you received),Caught date (for the Pokemon you gave away),Date of trading,ATK IV,DEF IV,STA IV,Your Trainer name,Your Trainer Level,Trading Partner's Trainer Level,Your trading medal (Gentleman),Your trading distance medal (Pilot)
7/25/2018 21:50:15,"Good friends (1 stars, 1 day)",Yes,1,8/4/2016,5/9/2018,7/25/2018,10,8,10,,,,Gold,Gold
7/25/2018 21:50:22,"Great friends (2 stars, 7 days)",Yes,2,7/26/2018,7/10/2018,6/12/2018,2,12,13,Backing,31,3,Bronze,Bronze
7/25/2018 21:50:54,"Ultra friends (3 stars, 30 days)",Yes,2,12/29/2016,,7/25/2018,10,6,8,Uvimaru,40,36,Bronze,Silver
7/25/2018 21:51:28,"Ultra friends (3 stars, 30 days)",Yes,3,5/21/2018,6/21/2018,7/25/2018,6,7,14,Lukiido,40,40,Silver,Gold
7/25/2018 21:52:54,"Great friends (2 stars, 7 days)",Yes,3,7/30/2016,7/30/2016,7/25/2018,4,3,10,,36,36,Bronze,Silver
7/25/2018 21:54:10,"Great friends (2 stars, 7 days)",No,3,7/25/2018,7/5/2018,7/25/2018,14,12,12,valorraptor,40,33,Bronze,Bronze
7/25/2018 21:54:18,"Great friends (2 stars, 7 days)",Yes,3,10/25/2017,10/5/2016,7/25/2018,15,9,0,iv be4 trade 15-15-13,40,27,Silver,Gold
7/25/2018 21:55:06,"Good friends (1 stars, 1 day)",Yes,2,12/24/2017,12/30/2016,7/25/2018,5,8,1,123321mario,39,30,Bronze,Bronze
7/25/2018 21:55:06,"Ultra friends (3 stars, 30 days)",Yes,2,3/9/2018,8/10/2016,7/25/2018,2,2,13,Tytymcfly19,35,33,Bronze,Silver
7/25/2018 21:56:04,"Good friends (1 stars, 1 day)",Yes,2,8/22/2016,7/8/2018,7/25/2018,7,15,3,Face1ess Man,36,37,None,None
7/25/2018 21:56:12,"Great friends (2 stars, 7 days)",No,1,7/25/2018,7/25/2018,7/25/2018,11,7,8,valorraptor,40,33,Bronze,Bronze
7/25/2018 21:57:01,"Ultra friends (3 stars, 30 days)",Yes,2,11/28/2017,1/18/2017,7/25/2018,8,0,0,JorroTreul,37,38,Bronze,Silver
7/25/2018 21:57:21,"Good friends (1 stars, 1 day)",Yes,2,3/11/2018,10/18/2017,7/25/2018,6,9,3,ProHitman002,40,28,None,None
7/25/2018 21:57:31,"Great friends (2 stars, 7 days)",Yes,1,4/14/2018,7/25/2017,7/25/2018,14,3,14,DavidBartos84,38,27,Bronze,Silver
7/25/2018 21:57:51,"Great friends (2 stars, 7 days)",Yes,3,9/13/2016,6/20/2018,7/25/2018,13,0,4,LeonidasGFX,40,33,Bronze,Silver
7/25/2018 21:58:02,"Great friends (2 stars, 7 days)",No,1,2/5/2018,2/5/2018,7/25/2018,4,8,14,eMTeeNash,38,32,Bronze,Silver
7/25/2018 22:00:09,"Ultra friends (3 stars, 30 days)",Yes,3,5/24/2018,3/19/2017,7/25/2018,5,10,14,SM3AR,35,39,Bronze,Silver
7/25/2018 22:00:16,"Great friends (2 stars, 7 days)",Yes,1,12/29/2016,9/27/2016,7/25/2018,14,14,5,TheTNTino,35,39,Bronze,Bronze
7/25/2018 22:03:01,"Ultra friends (3 stars, 30 days)",Yes,1,7/24/2016,9/4/2017,7/25/2018,0,14,8,JennyStonez,32,39,Bronze,Bronze
7/25/2018 22:03:29,"Great friends (2 stars, 7 days)",No,1,12/7/2017,8/23/2017,7/25/2018,12,10,12,TheTNTino,35,39,Bronze,Bronze
7/25/2018 22:04:09,"Great friends (2 stars, 7 days)",No,3,7/25/2018,7/25/2018,7/25/2018,7,14,12,,,38,Silver,Gold
7/25/2018 22:04:36,"Ultra friends (3 stars, 30 days)",Yes,1,12/20/2017,6/18/2017,7/24/2018,11,13,2,Pigzun,39,39,Silver,Silver
7/25/2018 22:04:50,"Great friends (2 stars, 7 days)",No,2,7/5/2018,7/24/2018,7/25/2018,8,4,9,AutumnalKitsune,38,36,Bronze,Silver
7/25/2018 22:05:41,"Great friends (2 stars, 7 days)",Yes,2,3/28/2017,7/27/2016,7/25/2018,14,4,8,valorraptor,40,33,Bronze,Bronze
7/25/2018 22:06:54,"Great friends (2 stars, 7 days)",Yes,3,2/12/2017,3/14/2017,7/25/2018,11,7,6,CommunityValor,40,40,Bronze,Silver
7/25/2018 22:06:55,"Great friends (2 stars, 7 days)",No,2,7/25/2018,7/25/2018,7/25/2018,6,6,4,brmstick,40,,Silver,Gold
7/25/2018 22:07:02,"Good friends (1 stars, 1 day)",No,3,6/12/2017,4/13/2017,7/26/2018,14,12,10,assim11maity,38,,Silver,Bronze
7/25/2018 22:08:15,"Ultra friends (3 stars, 30 days)",Yes,1,6/7/2018,7/24/2018,7/25/2018,14,11,14,Embragone,39,28,Bronze,Bronze
7/25/2018 22:09:40,"Ultra friends (3 stars, 30 days)",Yes,3,7/25/2018,7/25/2018,7/25/2018,10,7,5,,31,,Bronze,Bronze
7/25/2018 22:09:49,"Great friends (2 stars, 7 days)",No,1,7/13/2018,7/21/2018,7/25/2018,11,11,10,brmstick,40,38,Silver,Gold
7/25/2018 22:09:56,"Good friends (1 stars, 1 day)",Yes,3,8/19/2016,7/25/2018,7/25/2018,11,5,14,TheDaRkViVi,40,30,Bronze,Silver
7/25/2018 22:10:15,"Ultra friends (3 stars, 30 days)",Yes,1,7/8/2018,1/20/2018,7/25/2018,3,2,14,Embragone,39,28,Bronze,Bronze
7/25/2018 22:10:35,"Good friends (1 stars, 1 day)",Yes,3,1/12/2017,7/15/2018,7/25/2018,7,14,11,,39,30,Bronze,Silver
7/25/2018 22:12:13,"Great friends (2 stars, 7 days)",Yes,3,3/26/2017,4/7/2017,7/25/2018,14,10,9,CommunityValor,40,40,Bronze,Silver
7/25/2018 22:12:55,"Great friends (2 stars, 7 days)",Yes,1,3/11/2016,8/27/2016,7/25/2018,8,15,0,Bodolinho,40,40,Bronze,Silver
7/25/2018 22:13:01,"Good friends (1 stars, 1 day)",Yes,2,9/3/2016,7/24/2018,7/25/2018,5,15,5,Spartangod244,39,36,Silver,Silver
7/25/2018 22:13:32,"Great friends (2 stars, 7 days)",No,2,6/22/2018,6/21/2018,7/25/2018,4,3,9,brmstick,40,38,Silver,Gold
7/25/2018 22:13:50,"Great friends (2 stars, 7 days)",Yes,2,2/16/2017,6/26/2017,7/25/2018,10,7,13,JackOLantern,39,40,Silver,Silver
7/25/2018 22:14:07,"Great friends (2 stars, 7 days)",Yes,1,7/24/2016,7/21/2018,7/26/2018,15,13,1,ShadowKnight721,39,33,Silver,Gold
7/25/2018 22:14:36,"Great friends (2 stars, 7 days)",No,3,7/25/2018,6/18/2018,7/25/2018,2,15,13,Rocksteadygyrl,40,31,Bronze,Silver
7/25/2018 22:15:24,"Great friends (2 stars, 7 days)",No,1,7/24/2018,7/24/2018,7/25/2018,10,13,11,CommunityValor,40,40,Bronze,Silver
7/25/2018 22:16:50,"Good friends (1 stars, 1 day)",No,2,7/30/2017,7/21/2018,7/28/2018,9,11,14,,36,33,Bronze,Bronze
7/25/2018 22:17:19,"Great friends (2 stars, 7 days)",No,2,2/17/2017,1/4/2017,7/25/2018,14,7,3,dylanhippyjink,38,39,Bronze,Bronze
7/25/2018 22:17:37,"Great friends (2 stars, 7 days)",Yes,1,3/13/2018,12/4/2016,7/25/2018,11,3,12,RealKingOfCream,39,31,Bronze,Bronze
7/25/2018 22:18:26,"Great friends (2 stars, 7 days)",No,1,7/18/2018,2/27/2018,7/25/2018,13,12,14,brmstick,40,38,Silver,Gold
7/25/2018 22:18:31,"Great friends (2 stars, 7 days)",No,1,7/26/2018,7/8/2018,7/26/2018,5,13,14,,34,33,Bronze,Bronze
7/25/2018 22:18:41,"Great friends (2 stars, 7 days)",No,1,7/23/2018,7/23/2018,7/24/2018,3,6,5,BeeStasia99,39,32,None,None
7/25/2018 22:19:34,"Great friends (2 stars, 7 days)",Yes,3,9/12/2016,7/1/2018,7/25/2018,14,15,6,mosesicen,40,32,Silver,Gold
7/25/2018 22:19:44,"Ultra friends (3 stars, 30 days)",Yes,1,11/25/2016,8/2/2016,7/25/2018,3,2,13,ErinAndy,34,33,Bronze,Bronze
7/25/2018 22:20:42,"Great friends (2 stars, 7 days)",No,2,7/25/2018,11/28/2017,7/25/2018,12,15,15,JellyBean1917,40,34,Silver,Gold
7/25/2018 22:20:43,"Great friends (2 stars, 7 days)",No,1,7/4/2017,10/23/2017,7/24/2018,8,3,5,OhItsChristina,40,34,None,None
7/25/2018 22:20:54,"Great friends (2 stars, 7 days)",Yes,2,8/19/2016,7/25/2018,7/25/2018,9,7,4,Spartangod244,39,36,Silver,Silver
7/25/2018 22:21:38,"Great friends (2 stars, 7 days)",Yes,3,8/31/2017,12/15/2016,7/25/2018,10,14,10,,36,34,Bronze,Bronze
7/25/2018 22:22:09,"Ultra friends (3 stars, 30 days)",Yes,1,12/21/2016,4/10/2018,7/25/2018,2,12,11,,34,35,Bronze,Silver
7/25/2018 22:22:19,"Ultra friends (3 stars, 30 days)",Yes,2,9/18/2016,7/16/2018,7/25/2018,4,6,0,Codermum,40,40,Silver,Gold
7/25/2018 22:23:27,"Ultra friends (3 stars, 30 days)",Yes,3,7/12/2018,7/24/2018,7/25/2018,0,12,15,Nsalituri7,40,37,Bronze,Silver
7/25/2018 22:23:47,"Great friends (2 stars, 7 days)",Yes,3,1/20/2018,8/26/2016,7/26/2018,9,0,10,mumbaiboy6,36,32,None,Bronze
7/25/2018 22:24:57,"Ultra friends (3 stars, 30 days)",Yes,1,12/28/2017,9/2/2016,7/25/2018,12,12,2,FullFeeder,38,29,Bronze,Bronze
7/25/2018 22:25:33,"Great friends (2 stars, 7 days)",No,1,11/26/2017,2/28/2018,7/25/2018,10,1,13,brmstick,40,38,Silver,Gold
7/25/2018 22:25:59,"Great friends (2 stars, 7 days)",No,1,2/12/2018,2/13/2018,7/25/2018,11,11,7,CommunityValor,40,40,Bronze,Silver
7/25/2018 22:26:02,"Ultra friends (3 stars, 30 days)",Yes,1,7/11/2018,6/24/2018,7/25/2018,3,2,3,Linoness,40,40,Bronze,Bronze
7/25/2018 22:27:08,"Great friends (2 stars, 7 days)",No,1,10/1/2017,11/3/2017,7/26/2018,7,7,13,TrishkeR,33,30,None,Bronze
7/25/2018 22:27:22,"Ultra friends (3 stars, 30 days)",Yes,1,6/16/2018,7/10/2018,7/26/2018,11,15,2,MunchingSloth,40,40,Silver,Silver
7/25/2018 22:28:15,"Ultra friends (3 stars, 30 days)",Yes,1,7/24/2018,9/12/2016,7/25/2018,8,14,10,,40,40,Silver,Gold
7/25/2018 22:29:09,"Ultra friends (3 stars, 30 days)",No,3,7/23/2018,7/20/2018,7/25/2018,8,3,13,Codermum,40,40,Silver,Gold
7/25/2018 22:29:23,"Ultra friends (3 stars, 30 days)",Yes,1,2/24/2018,2/24/2018,7/25/2018,10,10,12,MithrilHg,37,37,Bronze,Bronze
7/25/2018 22:30:17,"Great friends (2 stars, 7 days)",No,1,4/12/2017,1/12/2017,7/25/2018,4,6,15,brmstick,40,38,Silver,Gold
7/25/2018 22:31:10,"Great friends (2 stars, 7 days)",Yes,1,7/20/2018,7/18/2016,7/25/2018,14,12,1,lightning2k3,30,24,Bronze,Bronze
7/25/2018 22:31:28,"Great friends (2 stars, 7 days)",No,1,2/24/2017,2/16/2017,7/25/2018,10,11,8,CommunityValor,40,40,Bronze,Silver
7/25/2018 22:31:30,"Great friends (2 stars, 7 days)",Yes,2,3/4/2017,8/20/2016,7/25/2018,3,15,5,,,,None,Bronze
7/25/2018 22:31:38,"Great friends (2 stars, 7 days)",Yes,2,8/12/2016,,7/25/2018,15,15,11,AibusPotter,40,35,Bronze,Silver
7/25/2018 22:34:02,"Ultra friends (3 stars, 30 days)",Yes,3,12/4/2016,12/20/2016,7/25/2018,13,10,13,xGrangerDangerx,40,40,None,Bronze
7/25/2018 22:34:07,"Great friends (2 stars, 7 days)",No,1,10/20/2017,12/31/2017,7/25/2018,4,7,13,brmstick,40,38,Silver,Gold
7/25/2018 22:35:31,"Great friends (2 stars, 7 days)",Yes,1,8/26/2016,,7/25/2018,12,6,13,tazdbz,36,33,None,Bronze
